title	reserve_percent	audience	director	producer	actor_and_actress	genre	release_date
도레미파솔라시도	0.0%	6명	강건향		장근석,차예련,정의철	드라마	 www.doremi403.com
고야의 유령	0.0%	0명	밀로쉬포먼		나탈리포트만,스텔란스카스가드	드라마,시대극	2010.07.14
비투스	0.0%	3명	프레디무러		브루노간츠	드라마	 blog.naver.com/vitus2008
테이큰	0.0%	113명	삐에르모렐		리암니슨,매기그레이스	액션,스릴러	 www.taken2008.co.kr/
경축! 우리사랑	0.0%	2명	오점균		김해숙,김영민	드라마	2008.04.09
내가 숨쉬는 공기	0.0%	5명	이지호		포레스트휘태커,케빈베이컨,브렌단프레이저	범죄,드라마	 www.theair2008.co.kr
연의 황후	0.0%	7명	정소동		진혜림,여명,견자단	액션,드라마	 www.empress2008.co.kr
버킷리스트죽기전에꼭하고싶은것들	0.0%	12명	로브라이너		잭니콜슨,모건프리먼	드라마	 www.mybucketlist.co.kr/
삼국지 : 용의 부활	0.0%	36명	이인항		유덕화,홍금보	시대극,전쟁	 www.3kingdoms.co.kr/
킬 위드 미	0.0%	10명	그레고리호블릿		다이안레인,빌리버크	범죄,스릴러	 www.killwithme.co.kr/
하트브레이크 호텔	0.0%	0명	콜린너틀리		헬레나베르그스트롬,마리아런드비츠	드라마	2008.06.26
비스티 보이즈	0.0%	28명	윤종빈		하정우,윤계상,윤진서	드라마	 www.beastieboys.co.kr/
미운오리새끼와 랫소의 모험 	0.0%	6명	마이클헤그너,카르스텐킬레리치		저스틴그렉,이진호	가족,애니메이션,어드벤처	2008.04.03
새드 배케이션	0.0%	1명	아오야마신지		아사노타다노부,오다기리죠	드라마	 cafe.naver.com/spongehouse.cafe
데스 디파잉 : 어느 마술사의 사랑	0.0%	2명	질리안암스트롱		캐서린제타존스,가이피어스	로맨스,스릴러	 www.deathdefying.co.kr/
스트리트 킹	0.0%	6명	데이빗에이어		크리스에반스,키아누리브스	범죄,드라마,스릴러	 www.foxkorea.co.kr/streetkings/
캔디	0.0%	0명	님암필드		아비코니쉬,히스레저	로맨스,드라마	 www.candy2008.co.kr/
원티드	0.0%	152명	티무르베크맘베토프		안젤리나졸리,제임스맥애보이	액션	2008.06.25
해프닝	0.0%	13명	나이트샤말란		마크월버그	스릴러	 www.foxkorea.co.kr/happening
